,name,RMS,redshift,W1,W2,W3,W4,W5,W6,UNI_FLAG,MIZ2,detection,UNI_DET,peak_flux,int_flux,D_Mpc,D_cm,L_rad,L_2500,alpha_ro,RAx,DECx,VOFF_CIV_PEAK,EW_CIV,PLATE,MJD,FIBER,Quadrant
233,SDSSJ001342.45-002412.6,,1.6505610000000000,0.02732,0.02415,0.0263,0.01611,-0.00745,-0.00511,0.0,-27.52096916182440,1.0,1,220,270,12528.5284255751,38663038721324800000000000000,31.2549360678698,31.16757770703310,-0.0416605196669278,3.42688,-0.403514,562.4606346698910,52.68671495615920,389,51795,274,0
293,SDSSJ014023.83+141151.7,,1.6503609000000000,0.01581,0.04727,0.00394,0.038440000000000000,0.0028700000000000000,0.00015,0.0,-26.08948827110290,1.0,1,495,515,12526.6502951896,38657242810955100000000000000,31.5352657081109,30.59498535074450,-0.448412355100327,25.099303,14.197709,647.9803146335420,28.967284956709700,426,51882,514,1
1270,SDSSJ014658.21-091505.2,10,1.6508549,0.02277,0.03147,0.02065,0.02196,-0.00505,0.00193,0.0,-26.3366662899303,-1.0,-2,0,30,12531.2870452285,38671551821575200000000000000,30.3008607129891,30.6938565582754,0.187416647757116,26.742564,-9.25147,262.94917746483600,35.066573325726300,664,52174,543,0
1281,SDSSJ015720.27-093809.1,23.7,1.650784,0.03413,0.02012,0.01647,0.03683,0.00067,-0.00521,0.0,-26.298903173495600,-1.0,-2,0,71.1,12530.6215505167,38669498104894500000000000000,30.6755687378387,30.678751311701600,0.00151774460666271,29.334464,-9.635872,444.8311535761200,43.67456815717420,666,52149,298,0
7944,SDSSJ081656.84+492438.1,9.3,1.650785,0.046690000000000000,0.0008,0.030720000000000000,0.02102,-0.007240000000000000,-0.00474,0.0,-26.136125821555800,-1.0,-2,0,27.9,12530.6309368604,38669527071151200000000000000,30.2693039091003,30.613640370925600,0.164211368007797,124.236843,49.410604,423.4390076865160,31.53932785612130,440,51885,552,3
4892,SDSSJ082334.60+213917.5,13,1.6515239000000000,0.03899,0.02024,0.01707,0.016890000000000000,0.007360000000000000,-0.00132,1.0,-27.315547162864800,-1.0,-1,0,39,12537.5668311254,38690931240853000000000000000,30.415184436167,31.085408907449200,0.319624813236859,125.894208,21.654881,498.3048307909920,25.846326353312100,1927,53321,481,4
3648,SDSSJ082423.61+260656.3,7.5,1.6501319000000000,0.04131,0.00978,0.02814,0.014130000000000000,0.00385,-0.0013,1.0,-26.15788207702740,-1.0,-1,0,22.5,12524.5009690226,38650609990403700000000000000,30.175510714711,30.62234287311430,0.213090764806979,126.098409,26.115647,712.104034521381,22.832443405397700,1586,52945,327,3
1902,SDSSJ082928.79+401608.4,13,1.65065,0.01796,0.020380000000000000,0.04228,0.01654,0.00042,-0.0038200000000000000,1.0,-26.200221328211800,-1.0,-1,0,39,12529.3637912196,38665616659703700000000000000,30.4146875325755,30.639278573588000,0.107105712509961,127.369984,40.269003000000000,359.2533971563590,51.32587790950830,894,52615,524,2
6463,SDSSJ090502.96+154553.0,12,1.650998,0.026790000000000000,0.02556,0.02106,0.029230000000000000,0.007090000000000000,-0.0011100000000000000,1.0,-26.17353903883280,-1.0,-1,0,36,12532.6302551556,38675696967410200000000000000,30.380123334947,30.62860565783640,0.118499278151163,136.262365,15.764731,765.5299677009550,40.35278672465220,2435,53828,204,0
4951,SDSSJ092933.99+300240.8,,1.6516540000000000,0.021420000000000000,0.0397,0.00225,0.052990000000000000,-0.01012,-0.0038,1.0,-26.84181895103440,1.0,2,116,125,12538.7881188267,38694700134699200000000000000,30.9211037931966,30.89591762271710,-0.0120110878975536,142.391663,30.044674,145.20195624688800,65.82119123005430,1939,53389,538,2
4953,SDSSJ092959.42+270541.6,,1.651503,0.03306,0.01732,0.02565,0.0241,0.0101,-0.00121,1.0,-27.029028544016400,1.0,2,115,164,12537.3706384349,38690325790210100000000000000,31.0389517966838,30.970801459909900,-0.0325003630824086,142.497601,27.094903000000000,369.9519544972960,34.995243711303100,1940,53383,120,4
8181,SDSSJ095648.48+534713.5,7.9,1.6514230000000000,0.03044,0.0144,0.032260000000000000,0.024,0.0026900000000000000,-0.00107,1.0,-26.58309699963760,-1.0,-2,0,23.7,12536.6196664251,38688008290587900000000000000,30.1988108175229,30.79242884215840,0.283091797431948,149.202005,53.787094000000000,155.90816150919100,38.88199751784000,769,52282,69,3
6881,SDSSJ100723.31+162842.6,9.9,1.6510050000000000,0.03347,0.01634,0.028070000000000000,0.01884,8E-05,-0.00095,1.0,-26.861417079760800,-1.0,-1,0,29.7,12532.695961367,38675899736778600000000000000,30.296581263953,30.903756874207600,0.289557304075054,151.847151,16.478509,134.49536844482100,47.38724063072540,2587,54138,313,3
2361,SDSSJ101946.98+494848.6,,1.651321,0.04285,0.02072,0.01627,0.00189,0.00441,0.00834,1.0,-26.6345476434195,1.0,2,2570,2175.38,12535.66218,38685053487480000000000000000,32.1615396155472,30.8130090996711,-0.643103665636852,154.945784,49.813513,573.1519315458860,6.711076842865240,1007,52706,14,0
5453,SDSSJ104031.38+362611.6,,1.6503890000000000,0.03042,0.0225,0.02062,0.02899,-0.00027,-0.00643,1.0,-26.60412823778450,1.0,2,102,123,12526.9140377622,38658056720534100000000000000,30.9133795757833,30.80084133741710,-0.0536686065057994,160.130766,36.436579000000000,230.84088838690000,36.3458484478709,2096,53446,563,3
22,SDSSJ104852.52+003230.0,16,1.650584,0.04427,0.00762,0.02254,0.029660000000000000,-0.0098,0.00081,0.0,-27.104483308504100,-1.0,-2,0,48,12528.7443056819,38663704927334300000000000000,30.5048266234184,31.000983365705000,0.236613273439833,162.218859,0.541673,605.2235302698760,43.63308038348020,276,51909,348,3
653,SDSSJ105814.69+015230.6,17,1.651886,0.01892,0.032310000000000000,0.01612,0.047510000000000000,0.01799,0.00535,0.0,-26.44912834056630,-1.0,-2,0,51,12540.9660222792,38701421144753600000000000000,30.5318958133295,30.73884137852980,0.0986907229764394,164.56124600000000,1.875186,904.392733752067,74.43746540344600,508,52366,276,1
5136,SDSSJ110041.31+315018.1,,1.650453,0.01741,0.03455,0.02451,0.01761,-0.00091,0.00197,1.0,-27.174594618501200,1.0,2,362,363,12527.5147360944,38659910475587300000000000000,31.3834174960191,31.029027889703800,-0.169005634060053,165.172157,31.838363,262.94917746483600,42.05439786976710,1990,53472,426,1
5870,SDSSJ110729.57+270800.7,10,1.6500690000000000,0.01707,0.0386,0.014370000000000000,0.03539,-0.01487,0.00228,1.0,-26.46461996401740,-1.0,-1,0,30,12523.9106191738,38648788170770300000000000000,30.3004136628725,30.74503802791030,0.212037885402616,166.87323700000000,27.133554000000000,1895.9166288386000,46.54625078956890,2212,53789,534,1
6634,SDSSJ113047.11+190325.6,6.8,1.650932,0.03963,0.013040000000000000,0.02462,0.018330000000000000,0.01929,0.00115,1.0,-26.40147667708570,-1.0,-1,0,20.4,12532.0107423114,38673785150773000000000000000,30.1334134706908,30.71978071313760,0.279633956063592,172.69631300000000,19.057130000000000,754.8455446149110,25.756839010456200,2502,54180,278,3
6642,SDSSJ113244.74+172629.4,,1.6503741000000000,0.0243,0.02891,0.01602,0.0419,-0.0088,-0.00221,1.0,-26.737379812111700,1.0,2,65.5,71,12526.7741883808,38657625145343100000000000000,30.6747243369223,30.854141967148000,0.0855628658896631,173.18645800000000,17.441512,466.22177083765000,49.180194095992000,2503,53856,435,0
7586,SDSSJ113532.86+001411.4,14,1.6517010000000000,0.02791,0.033820000000000000,0.00924,0.029460000000000000,0.00141,0.0021900000000000000,0.0,-26.59797621079890,-1.0,-2,0,42,12539.2293268612,38696061702693700000000000000,30.4474697846289,30.79838052662290,0.167346590848985,173.886946,0.23651800000000000,722.7899847343060,32.19706455010540,282,51658,488,1
113,SDSSJ113548.66-022617.8,11.7,1.6502399000000000,0.022960000000000000,0.029710000000000000,0.020390000000000000,0.02975,0.00571,-0.0010400000000000000,0.0,-26.664852316676300,-1.0,-2,0,35.1,12525.51461726,38653738108864400000000000000,30.3686967587722,30.825130968973800,0.217669908279391,173.952777,-2.438297,808.2638427057300,54.52763666315240,327,52294,496,0
677,SDSSJ114408.55+020221.2,,1.6506031000000000,0.06337000000000000,0.00244,0.01351,0.00486,0.01315,0.01353,0.0,-26.148796385221200,1.0,1,89,120,12528.9235805095,38664258169452300000000000000,30.9027774959636,30.618708596391800,-0.13547023849836,176.035649,2.039225,1096.5578041880200,23.39844252511520,514,51994,164,4
7638,SDSSJ120015.35+000553.1,,1.650593,0.023570000000000000,0.03581,0.01991,0.004080000000000000,0.018370000000000000,0.013360000000000000,0.0,-26.397595125635800,1.0,1,42,25,12528.8287806775,38663965617170800000000000000,30.2215305138344,30.718228092557600,0.236871194110365,180.063964,0.098102,-1110.0683820156500,2.78626834738306,285,51930,509,0
1021,SDSSJ120845.22+653344.6,9.9,1.651211,0.0234,0.02925,0.02029,0.02997,0.0021100000000000000,-0.00164,0.0,-26.81997636403240,-1.0,-2,0,29.7,12534.6296273811,38681867030098100000000000000,30.2966983948838,30.88718058791630,0.281596343843789,182.188432,65.562414,883.0334293063680,32.40991732575690,599,52317,467,0
5945,SDSSJ121753.12+294304.6,,1.6507450000000000,0.031390000000000000,0.01385,0.028110000000000000,0.03537,0.01102,0.0,1.0,-26.97660220057080,1.0,2,130,117,12530.2554840412,38668368423751100000000000000,30.8918628185717,30.94983092253160,0.0276445358171301,184.471363,29.717947,861.672598470189,61.65535298923700,2230,53799,117,2
3472,SDSSJ122225.34+414117.4,,1.6510630000000000,0.016890000000000000,0.035410000000000000,0.021580000000000000,0.026010000000000000,0.00909,0.00243,1.0,-26.66873276696440,1.0,2,66,65,12533.2403865025,38677579832746700000000000000,30.636771151495,30.82668314908910,0.0905675476849232,185.60562100000000,41.688191000000000,134.49536844482100,39.77957680123060,1452,53112,255,0
1556,SDSSJ124118.12+624606.1,,1.651013,0.0028,0.05795,0.0,0.058430000000000000,-0.0027200000000000000,0.00505,1.0,-27.654530690463900,1.0,2,348,337,12532.7710542514,38676131473419800000000000000,31.3514592645773,31.221002318488900,-0.0622138982021728,190.325501,62.768374,722.7899847343060,67.26964786945460,781,52373,480,0
4032,SDSSJ130243.08+130039.3,,1.65048,0.03449,0.028240000000000000,0.015970000000000000,0.00513,-0.00124,0.00848,1.0,-27.820418520945700,1.0,2,109,114,12527.7681571642,38660692533008700000000000000,30.8804310809106,31.287357450681600,0.194060006031092,195.679505,13.010924000000000,27.4084477430473,8.950889185073210,1696,53116,378,4
3509,SDSSJ130545.73+462417.6,9.9,1.650565,0.030680000000000000,0.02511,0.01602,0.03182,-0.00281,4E-05,1.0,-26.70797936615410,-1.0,-1,0,29.7,12528.5659698963,38663154583100000000000000000,30.2963310282304,30.84238178876500,0.260407340871667,196.44057800000000,46.404898000000000,797.5809465283270,32.41600792930100,1459,53117,161,0
5534,SDSSJ132249.49+324826.8,8.5,1.651252,0.04583,0.01223,0.0156,0.026890000000000000,-0.0035,0.0040100000000000000,1.0,-26.805142231986900,-1.0,-1,0,25.5,12535.0144892566,38683054713845900000000000000,30.2305054365741,30.881246935098100,0.310333535767946,200.706248,32.80745,883.0334293063680,33.4181415917591,2112,53534,191,4
4557,SDSSJ133802.31+084638.4,8.5,1.6502240000000000,0.029640000000000000,0.01685,0.028190000000000000,0.030060000000000000,0.0147,0.00193,1.0,-26.422652151977000,-1.0,-1,0,25.5,12525.3653848431,38653277577625800000000000000,30.2299207768409,30.728250903094100,0.237649743270736,204.509649,8.777358,669.3564153746720,50.6600140263114,1802,53885,60,3
4578,SDSSJ135348.69+071850.7,,1.65019,0.04458,0.0131,0.02394,0.00158,0.00498,0.00412,1.0,-26.51264244730730,1.0,2,241,271,12525.0462725076,38652292796958500000000000000,31.2563305435311,30.76424702122620,-0.234670786658602,208.452913,7.314084000000000,-315.5269335394470,17.73301344656840,1805,53875,483,2
5577,SDSSJ140612.82+292303.0,9.3,1.651291,0.022020000000000000,0.027030000000000000,0.023030000000000000,0.034910000000000000,-0.00012000000000000000,0.00082,1.0,-26.4106199405728,-1.0,-1,0,27.9,12535.380579236,38684184467522300000000000000,30.269591632303,30.7234380185324,0.216435795248242,211.55344900000000,29.384175,434.13527171652600,49.95944454391520,2122,54178,72,1
4743,SDSSJ144326.01+305657.6,,1.6513489000000000,0.01705,0.0288,0.02743,0.03373,-0.008580000000000000,-0.00033,1.0,-26.712544571058200,1.0,2,72,103,12535.9240853855,38685861727499700000000000000,30.8368575708985,30.844207870726600,0.00350530055295785,220.858396,30.949340000000000,573.1519315458860,65.89768738026140,1842,53501,200,0
3006,SDSSJ144510.01+524538.7,,1.651511,0.03926,0.01892,0.01429,0.02925,0.0071400000000000000,0.00448,1.0,-27.234565147260900,1.0,2,38,52,12537.4457360541,38690557541463000000000000000,30.5401158398517,31.053016101207700,0.244598126850582,221.29171000000000,52.760759,220.13736051851800,40.73340018481300,1327,52781,622,0
4753,SDSSJ144925.90+311041.4,,1.650885,0.054440000000000000,0.0070600000000000000,0.0037600000000000000,0.051380000000000000,-0.0168,0.0069700000000000000,1.0,-26.46413206132400,1.0,2,73,87,12531.5695772306,38672423715333600000000000000,30.7632758283298,30.74484286683290,-0.00879053530316142,222.357935,31.178179000000000,-583.7181559401120,47.41692937527800,1843,53816,343,3
4637,SDSSJ150951.87+075658.8,28,1.651734,0.02793,0.02068,0.02194,0.04108,-0.00419,0.00131,1.0,-26.863326599968400,-1.0,-1,0,84,12539.5391127941,38697017702082600000000000000,30.7485185364678,30.904520682290700,0.07439620434599,227.466148,7.949674000000000,583.8428464290000,59.52203073977280,1816,53919,539,0
1602,SDSSJ151450.99+544609.1,,1.6510260000000000,0.04278,0.01753,0.01411,0.022370000000000000,0.00813,0.00428,1.0,-26.4900350462354,1.0,2,42,31,12532.8930803508,38676508045962600000000000000,30.3151984497282,30.7552040607975,0.209835237725869,228.71246300000000,54.769198000000000,487.61085958027700,30.05880567172200,793,52370,560,1
8301,SDSSJ153512.10+540215.2,,1.6501170000000000,0.028960000000000000,0.02696,0.015570000000000000,0.03205,-0.0276,0.0033400000000000000,0.0,-26.63603963960550,1.0,1,54,40,12524.3611241974,38650178429273200000000000000,30.4253797103531,30.81360589814550,0.185142035368263,233.80041700000000,54.037567,-90.43136624275770,55.41748024149340,616,52374,213,1
2558,SDSSJ153745.03+481502.9,9.6,1.6516531000000000,0.0131,0.02646,0.03619,0.02955,-0.00785,-0.0040100000000000000,1.0,-26.754244983012700,-1.0,-1,0,28.8,12538.7796701878,38694674062199600000000000000,30.2835857563942,30.860888035508400,0.275310945883676,234.43763400000000,48.250815,-58.28864183721980,43.105705927817700,1167,52738,195,2
5781,SDSSJ154631.77+191407.8,16.6,1.651212,0.01789,0.03868,0.015310000000000000,0.02851,-0.00533,-0.00018,1.0,-26.576038140760500,-1.0,-1,0,49.8,12534.6390142324,38681895997921200000000000000,30.5211718568843,30.789605298607500,0.128013810825448,236.6324,19.235513,508.99841991320300,50.76277031665370,2168,53886,123,1
3619,SDSSJ160025.19+302751.2,9.1,1.6511019,0.03739,0.02166,0.013580000000000000,0.0271,0.0033300000000000000,0.0024,1.0,-26.13525015737980,-1.0,-1,0,27.3,12533.6055290491,38678706662645500000000000000,30.2600425606782,30.61329010525520,0.1684609937411,240.10499500000000,30.464225,647.9803146335420,19.472274905501700,1579,53473,628,4
1632,SDSSJ163021.64+411147.0,,1.651073,0.02765,0.02607,0.02052,0.02556,0.00012000000000000000,-0.00016,1.0,-27.11665647993560,1.0,2,43,48,12533.3342533093,38677869505712500000000000000,30.5051047183449,31.00585263427760,0.23880276827634,247.590194,41.196401,476.9165062668780,44.986934683323700,816,52379,135,4
2261,SDSSJ172057.26+284745.4,8.9,1.650686,0.050790000000000000,0.01554,0.01124,0.0077,0.010030000000000000,0.0036800000000000000,1.0,-26.28318510050610,-1.0,-1,0,26.7,12529.7016946051,38666659429551300000000000000,30.2501546623209,30.67246408250580,0.201396062570701,260.238597,28.795948,583.8428464290000,26.438864837099200,980,52431,531,4
1375,SDSSJ213109.57+104714.2,8.7,1.651736,0.026910000000000000,0.028030000000000000,0.01935,0.02298,-0.0027200000000000000,0.00281,1.0,-26.252724288905400,-1.0,-1,0,26.1,12539.5578877407,38697075641567800000000000000,30.240880894469,30.660279757865500,0.200008040781333,322.789885,10.787284,177.31942447005600,46.723089592890200,730,52466,31,0
214,SDSSJ215800.38+002724.2,8.5,1.650432,0.04607,0.013640000000000000,0.011340000000000000,0.034260000000000000,-0.00615,0.00294,0.0,-26.96460035181180,-1.0,-2,0,25.5,12527.3176314172,38659302210553500000000000000,30.2300391056574,30.94503018302800,0.340973657875252,329.501589,0.456736,776.2140090396190,41.69197119891900,372,52173,429,4
7712,SDSSJ234607.49-002908.7,7.6,1.651123,0.03327,0.021520000000000000,0.01768,0.030660000000000000,-0.00298,-0.00396,0.0,-26.25699261598920,-1.0,-2,0,22.8,12533.8035891262,38679317876043500000000000000,30.1818267579942,30.66198708869900,0.228984709752042,356.531222,-0.485763,177.31942447005600,55.34190641733020,385,51877,32,0
1204,SDSSJ235321.03-085930.6,,1.650869,0.02344,0.02970,0.02141,0.02401,-0.00421,-0.00375,0.0,-26.7265813424809,1.0,1,50580,56300,12531.4193939725,38671960249799100000000000000,33.5742558716324,30.8498225792957,-1.29926094846028,358.337649,-8.991838000000000,498.3048307909920,45.17144404959440,649,52201,517,1